path	line	function	arguments
calamus/calamus_application_commands.py	170	invoke_check_command	app,command_id,active,source
calamus/calamus_application_commands.py	174	build_application_command_layer	app
calamus/calamus_application_composition.py	44	compose_core_application_components	app,clip_invalidation_reason
calamus/calamus_application_lifecycle_app.py	5	configure_application_lifecycle	app
calamus/calamus_application_lifecycle_app.py	20	shutdown_application_sources	app,remove_source
calamus/calamus_clip_runtime.py	26	selected_document_text	app
calamus/calamus_clip_runtime.py	87	insert_clip_expansion	app,text,cursor_offset
calamus/calamus_document_dossier_app.py	104	build_document_overview	app,view_factory
calamus/calamus_document_dossier_app.py	140	on_document_overview	app
calamus/calamus_document_dossier_app.py	144	refresh_document_overview_if_open	app
calamus/calamus_document_dossier_app.py	149	_present_document_editor	app
calamus/calamus_document_dossier_app.py	168	navigate_document_overview_offset	app,offset
calamus/calamus_document_dossier_app.py	179	navigate_document_overview_range	app,start,end
calamus/calamus_document_dossier_app.py	188	show_reference_set_name	app,name
calamus/calamus_scratchpad_gateway.py	12	current_section_target	app
calamus/calamus_scratchpad_gateway.py	17	selected_text	app
calamus/calamus_scratchpad_gateway.py	25	insert_body	app,body
calamus/calamus_scratchpad_gateway.py	41	copy_body	app,body
calamus/calamus_scratchpad_gateway.py	49	sync_document	app,force
calamus/calamus_typewriter_app.py	5	on_text_key_press	app,widget,event
calamus/calamus_typewriter_app.py	9	on_text_key_release	app,widget,event
calamus/calamus_typewriter_app.py	13	on_text_move_cursor	app
calamus/calamus_typewriter_app.py	21	on_text_button_press	app,widget,event
calamus/calamus_typewriter_app.py	25	on_text_motion_notify	app,widget,event
calamus/calamus_typewriter_app.py	29	on_text_button_release	app,widget,event
calamus/calamus_typewriter_app.py	33	on_text_scroll	app,widget,event
calamus/calamus_typewriter_app.py	37	on_text_focus_out	app,widget,event
calamus/calamus_typewriter_app.py	41	on_typewriter_state_changed	app,enabled
calamus/calamus_typewriter_app.py	49	on_typewriter_item_toggled	app,item
calamus/calamus_typewriter_app.py	56	toggle_typewriter_mode	app
calamus/calamus_ui.py	29	top_menu	app,label
calamus/calamus_ui.py	62	add_command_item	menu,label,app,command_id,data
calamus/calamus_ui.py	226	build_menu	app
calamus/calamus_ui.py	247	shortcut_bindings	app
calamus/calamus_ui.py	267	add_shortcuts	app
calamus/calamus_writing_app.py	9	insert_current_moment	app,command_name,fmt
calamus/calamus_writing_app.py	22	on_insert_date	app
calamus/calamus_writing_app.py	26	on_insert_time	app
calamus/calamus_writing_app.py	30	on_insert_datetime	app
