kind	binding_id	baseline	package	payload	owner	adapter	primary_authority	receipt
COMMAND	edit.copy	bind('edit.copy', lambda _ctx, fn=app.on_copy: fn())	bind('edit.copy', lambda _ctx, fn=ports.edit.on_copy: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.cut	bind('edit.cut', lambda _ctx, fn=app.on_cut: fn())	bind('edit.cut', lambda _ctx, fn=ports.edit.on_cut: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.duplicate-line-selection	bind('edit.duplicate-line-selection', lambda _ctx, fn=app.on_duplicate_line_or_selection: fn())	bind('edit.duplicate-line-selection', lambda _ctx, fn=ports.edit.on_duplicate_line_or_selection: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.find-all	bind('edit.find-all', lambda _ctx, fn=app.on_find_all: fn())	bind('edit.find-all', lambda _ctx, fn=ports.edit.on_find_all: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.find-next	bind('edit.find-next', lambda _ctx, fn=app.on_find_next: fn())	bind('edit.find-next', lambda _ctx, fn=ports.edit.on_find_next: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.find-previous	bind('edit.find-previous', lambda _ctx, fn=app.on_find_previous: fn())	bind('edit.find-previous', lambda _ctx, fn=ports.edit.on_find_previous: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.find-replace	bind('edit.find-replace', lambda _ctx, fn=app.on_find_replace: fn())	bind('edit.find-replace', lambda _ctx, fn=ports.edit.on_find_replace: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.lowercase	bind('edit.lowercase', lambda _ctx, fn=app.on_lowercase: fn())	bind('edit.lowercase', lambda _ctx, fn=ports.edit.on_lowercase: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.move-line	"bind(""edit.move-line"", lambda ctx: app.on_move_line(_int_in(ctx, ""direction"", {-1, 1})))"	"bind(""edit.move-line"", lambda ctx: ports.edit.on_move_line(_int_in(ctx, ""direction"", {-1, 1})))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.paste	bind('edit.paste', lambda _ctx, fn=app.on_paste: fn())	bind('edit.paste', lambda _ctx, fn=ports.edit.on_paste: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.paste-clean-pdf	bind('edit.paste-clean-pdf', lambda _ctx, fn=app.on_paste_clean_pdf: fn())	bind('edit.paste-clean-pdf', lambda _ctx, fn=ports.edit.on_paste_clean_pdf: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
